anxiety_level,self_esteem,depression,headache,sleep_quality,noise_level,living_conditions,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,anxiety_level_normalized,self_esteem_normalized,depression_normalized,headache_normalized,sleep_quality_normalized,noise_level_normalized,living_conditions_normalized,basic_needs_normalized,academic_performance_normalized,study_load_normalized,teacher_student_relationship_normalized,future_career_concerns_normalized,social_support_normalized,peer_pressure_normalized,stress_level
21,0,13,0,5,5,4,2,2,0,0,4,0,1,5.0,5.0,2.9259259259259256,1.0,1.0,5.0,4.0,3.4,3.4,1.0,5.0,4.2,5.0,1.8,1.5719135802469133
5,25,3,1,4,2,3,5,5,2,5,1,3,1,1.9523809523809523,1.666666666666666,1.4444444444444444,1.8,1.7999999999999998,2.6,3.0,1.0,1.0,2.6,1.0,1.8,2.6,1.8,2.574867724867725
18,14,15,4,1,4,1,2,2,4,2,5,1,5,4.428571428571429,3.1333333333333333,3.2222222222222223,4.2,4.2,4.2,1.0,3.4,3.4,4.2,3.4,5.0,4.2,5.0,2.8354497354497354
11,21,9,2,3,2,2,3,3,3,3,2,3,3,3.0952380952380953,2.2,2.333333333333333,2.6,2.6,2.6,2.0,2.6,2.6,3.4,2.6,2.6,2.6,3.4,2.751190476190476
11,23,10,3,2,3,3,3,2,3,2,2,3,2,3.0952380952380953,1.9333333333333336,2.4814814814814814,3.4,3.4,3.4,3.0,2.6,3.4,3.4,3.4,2.6,2.6,2.6,3.0656966490299826
1,26,18,2,3,1,2,4,3,2,1,5,1,1,1.1904761904761905,1.5333333333333332,3.6666666666666665,2.6,2.6,1.8,2.0,1.7999999999999998,2.6,2.6,4.2,5.0,4.2,1.8,3.060714285714286
5,30,0,1,5,1,4,4,5,1,4,1,3,1,1.9523809523809523,1.0,1.0,1.8,1.0,1.8,4.0,1.7999999999999998,1.0,1.8,1.7999999999999998,1.8,2.6,1.8,2.898015873015873
21,15,23,5,1,3,2,1,2,5,2,4,1,4,5.0,3.0,4.407407407407407,5.0,4.2,3.4,2.0,4.2,3.4,5.0,3.4,4.2,4.2,4.2,3.0169753086419755
2,26,4,1,4,1,4,4,5,1,4,1,3,2,1.380952380952381,1.5333333333333332,1.5925925925925926,1.8,1.7999999999999998,1.8,4.0,1.7999999999999998,1.0,1.8,1.7999999999999998,1.8,2.6,2.6,2.698897707231041
0,30,7,1,4,1,3,5,5,1,4,1,3,2,1.0,1.0,2.037037037037037,1.8,1.7999999999999998,1.8,3.0,1.0,1.0,1.8,1.7999999999999998,1.8,2.6,2.6,2.89320987654321
21,7,20,4,1,5,2,2,1,4,2,4,1,5,5.0,4.066666666666666,3.962962962962963,4.2,4.2,5.0,2.0,3.4,4.2,4.2,3.4,4.2,4.2,5.0,2.498456790123457
17,5,26,5,1,5,1,1,1,5,1,5,1,5,4.238095238095238,4.333333333333334,4.851851851851851,5.0,4.2,5.0,1.0,4.2,4.2,5.0,4.2,5.0,4.2,5.0,2.4954144620811287
20,5,20,3,1,3,1,2,2,5,2,4,1,5,4.809523809523809,4.333333333333334,3.962962962962963,3.4,4.2,3.4,1.0,3.4,3.4,5.0,3.4,4.2,4.2,5.0,2.215520282186948
1,29,5,1,5,1,3,5,4,1,5,1,3,2,1.1904761904761905,1.1333333333333329,1.7407407407407407,1.8,1.0,1.8,3.0,1.0,1.7999999999999998,1.8,1.0,1.8,2.6,2.6,2.7888007054673727
13,17,12,3,2,2,2,3,3,3,3,2,2,2,3.4761904761904763,2.7333333333333334,2.7777777777777777,3.4,3.4,2.6,2.0,2.6,2.6,3.4,2.6,2.6,3.4,2.6,2.552248677248677
18,13,23,3,1,5,2,1,2,4,2,5,1,4,4.428571428571429,3.2666666666666666,4.407407407407407,3.4,4.2,5.0,2.0,4.2,3.4,4.2,3.4,5.0,4.2,4.2,2.859832451499118
4,26,5,1,5,2,4,4,4,1,5,1,3,2,1.7619047619047619,1.5333333333333332,1.7407407407407407,1.8,1.0,2.6,4.0,1.7999999999999998,1.7999999999999998,1.8,1.0,1.8,2.6,2.6,2.7209435626102296
9,21,14,2,2,2,2,3,2,3,3,3,2,3,2.7142857142857144,2.2,3.074074074074074,2.6,3.4,2.6,2.0,2.6,3.4,3.4,2.6,3.4,3.4,3.4,2.8661816578483243
17,15,17,5,1,5,1,2,1,4,2,5,1,4,4.238095238095238,3.0,3.5185185185185186,5.0,4.2,5.0,1.0,3.4,4.2,4.2,3.4,5.0,4.2,4.2,2.973192239858906
0,26,8,1,4,1,3,5,4,2,4,1,3,2,1.0,1.5333333333333332,2.185185185185185,1.8,1.7999999999999998,1.8,3.0,1.0,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,2.6,2.699382716049383
13,15,12,3,3,3,2,2,3,2,2,3,3,2,3.4761904761904763,3.0,2.7777777777777777,3.4,2.6,3.4,2.0,3.4,2.6,2.6,3.4,3.4,2.6,2.6,2.485582010582011
10,24,12,3,2,3,2,3,3,2,3,2,2,3,2.9047619047619047,1.7999999999999998,2.7777777777777777,3.4,3.4,3.4,2.0,2.6,2.6,2.6,2.6,2.6,3.4,3.4,3.028439153439154
9,22,10,2,3,3,3,3,2,2,2,3,3,2,2.7142857142857144,2.066666666666667,2.4814814814814814,2.6,2.6,3.4,3.0,2.6,3.4,2.6,3.4,3.4,2.6,2.6,2.916490299823633
17,3,21,4,1,5,2,2,1,5,2,5,1,4,4.238095238095238,4.6,4.111111111111111,4.2,4.2,5.0,2.0,3.4,4.2,5.0,3.4,5.0,4.2,4.2,2.2395502645502643
11,18,13,3,3,2,2,3,2,3,3,3,3,2,3.0952380952380953,2.6,2.9259259259259256,3.4,2.6,2.6,2.0,2.6,3.4,3.4,2.6,3.4,2.6,2.6,2.6425485008818344
17,12,18,4,1,4,2,2,1,4,1,5,1,5,4.238095238095238,3.4,3.6666666666666665,4.2,4.2,4.2,2.0,3.4,4.2,4.2,4.2,5.0,4.2,5.0,2.8210317460317462
9,19,13,3,2,2,2,3,2,3,3,3,2,3,2.7142857142857144,2.466666666666667,2.9259259259259256,3.4,3.4,2.6,2.0,2.6,3.4,3.4,2.6,3.4,3.4,3.4,2.7600088183421514
16,11,18,4,1,5,2,1,1,5,2,4,1,5,4.0476190476190474,3.533333333333333,3.6666666666666665,4.2,4.2,5.0,2.0,4.2,4.2,5.0,3.4,4.2,4.2,5.0,2.7797619047619047
20,1,18,5,1,3,2,1,2,4,1,5,1,5,4.809523809523809,4.866666666666667,3.6666666666666665,5.0,4.2,3.4,2.0,4.2,3.4,4.2,4.2,5.0,4.2,5.0,2.111507936507936
9,23,19,3,5,0,3,1,2,4,4,5,1,0,2.7142857142857144,1.9333333333333336,3.814814814814815,3.4,1.0,1.0,3.0,4.2,3.4,4.2,1.7999999999999998,5.0,4.2,1.0,2.9720458553791884
8,0,22,5,5,0,1,4,3,5,1,2,1,2,2.5238095238095237,5.0,4.2592592592592595,5.0,1.0,1.0,1.0,1.7999999999999998,2.6,5.0,4.2,2.6,4.2,2.6,1.3992945326278659
19,7,11,1,3,4,4,1,5,5,0,3,0,3,4.619047619047619,4.066666666666666,2.6296296296296298,1.8,2.6,4.2,4.0,4.2,1.0,5.0,5.0,3.4,5.0,3.4,2.2103615520282185
15,14,19,3,1,3,1,2,1,4,1,5,1,4,3.857142857142857,3.1333333333333333,3.814814814814815,3.4,4.2,3.4,1.0,3.4,4.2,4.2,4.2,5.0,4.2,4.2,2.80299823633157
17,7,23,4,1,3,1,2,2,3,2,4,1,4,4.238095238095238,4.066666666666666,4.407407407407407,4.2,4.2,3.4,1.0,3.4,3.4,3.4,3.4,4.2,4.2,4.2,2.27689594356261
6,27,1,1,5,2,4,4,5,1,5,1,3,1,2.142857142857143,1.4000000000000004,1.1481481481481481,1.8,1.0,2.6,4.0,1.7999999999999998,1.0,1.8,1.0,1.8,2.6,1.8,2.7121252204585535
9,23,13,3,3,3,3,2,3,3,3,2,2,3,2.7142857142857144,1.9333333333333336,2.9259259259259256,3.4,2.6,3.4,3.0,3.4,2.6,3.4,2.6,2.6,3.4,3.4,3.0350088183421517
13,3,22,1,4,0,4,2,0,0,0,2,0,3,3.4761904761904763,4.6,4.2592592592592595,1.8,1.7999999999999998,1.0,4.0,3.4,5.0,1.0,5.0,2.6,5.0,3.4,1.7306437389770724
20,3,22,0,4,1,1,1,4,2,4,2,0,1,4.809523809523809,4.6,4.2592592592592595,1.0,1.7999999999999998,1.8,1.0,4.2,1.7999999999999998,2.6,1.7999999999999998,2.6,5.0,1.8,1.427865961199295
11,17,13,3,2,2,3,3,3,2,3,3,3,2,3.0952380952380953,2.7333333333333334,2.9259259259259256,3.4,3.4,2.6,3.0,2.6,2.6,2.6,2.6,3.4,2.6,2.6,2.5842151675485012
12,15,12,2,2,2,3,2,2,2,2,2,2,3,3.2857142857142856,3.0,2.7777777777777777,2.6,3.4,2.6,3.0,3.4,3.4,2.6,3.4,2.6,3.4,3.4,2.519312169312169
3,29,7,1,4,1,4,4,4,1,5,1,3,1,1.5714285714285714,1.1333333333333329,2.037037037037037,1.8,1.7999999999999998,1.8,4.0,1.7999999999999998,1.7999999999999998,1.8,1.0,1.8,2.6,1.8,2.892019400352734
8,26,2,1,5,2,4,5,4,2,4,1,3,1,2.5238095238095237,1.5333333333333332,1.2962962962962963,1.8,1.0,2.6,4.0,1.0,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,1.8,2.7341710758377427
19,11,27,3,1,4,1,2,1,3,1,5,1,4,4.619047619047619,3.533333333333333,5.0,3.4,4.2,4.2,1.0,3.4,4.2,3.4,4.2,5.0,4.2,4.2,2.6841269841269844
3,28,1,1,4,2,4,5,4,2,4,1,3,1,1.5714285714285714,1.2666666666666666,1.1481481481481481,1.8,1.7999999999999998,2.6,4.0,1.0,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,1.8,2.8549823633156968
16,9,25,3,1,4,1,1,2,5,1,5,1,5,4.0476190476190474,3.8,4.703703703703704,3.4,4.2,4.2,1.0,4.2,3.4,5.0,4.2,5.0,4.2,5.0,2.6146384479717817
15,6,20,3,1,4,2,2,2,3,2,4,1,4,3.857142857142857,4.2,3.962962962962963,3.4,4.2,4.2,2.0,3.4,3.4,3.4,3.4,4.2,4.2,4.2,2.2175044091710756
1,29,7,1,5,1,4,5,5,1,4,1,3,2,1.1904761904761905,1.1333333333333329,2.037037037037037,1.8,1.0,1.8,4.0,1.0,1.0,1.8,1.7999999999999998,1.8,2.6,2.6,2.842813051146385
17,4,19,3,1,5,2,2,2,3,1,5,1,4,4.238095238095238,4.466666666666667,3.814814814814815,3.4,4.2,5.0,2.0,3.4,3.4,3.4,4.2,5.0,4.2,4.2,2.193871252204586
5,27,8,1,4,2,4,5,4,1,5,1,3,2,1.9523809523809523,1.4000000000000004,2.185185185185185,1.8,1.7999999999999998,2.6,4.0,1.0,1.7999999999999998,1.8,1.0,1.8,2.6,2.6,2.814065255731922
9,24,13,2,2,3,2,3,2,3,3,3,2,2,2.7142857142857144,1.7999999999999998,2.9259259259259256,2.6,3.4,3.4,2.0,2.6,3.4,3.4,2.6,3.4,3.4,2.6,3.060008818342152
3,2,22,0,4,1,5,3,1,2,2,3,1,0,1.5714285714285714,4.733333333333333,4.2592592592592595,1.0,1.7999999999999998,1.8,5.0,2.6,4.2,2.6,3.4,3.4,4.2,1.0,1.4929453262786596
17,12,27,4,1,4,2,2,1,5,1,4,1,4,4.238095238095238,3.4,5.0,4.2,4.2,4.2,2.0,3.4,4.2,5.0,4.2,4.2,4.2,4.2,2.8432539682539684
13,21,12,3,3,2,2,2,2,3,2,3,2,3,3.4761904761904763,2.2,2.7777777777777777,3.4,2.6,2.6,2.0,3.4,3.4,3.4,3.4,3.4,3.4,3.4,2.9522486772486767
19,7,17,5,1,5,2,2,1,3,2,5,1,5,4.619047619047619,4.066666666666666,3.5185185185185186,5.0,4.2,5.0,2.0,3.4,4.2,3.4,3.4,5.0,4.2,5.0,2.4973985890652557
18,8,24,5,1,4,1,1,2,5,1,5,1,4,4.428571428571429,3.9333333333333336,4.555555555555555,5.0,4.2,4.2,1.0,4.2,3.4,5.0,4.2,5.0,4.2,4.2,2.591005291005291
9,23,11,2,2,3,3,3,2,2,3,2,3,3,2.7142857142857144,1.9333333333333336,2.6296296296296298,2.6,3.4,3.4,3.0,2.6,3.4,2.6,2.6,2.6,2.6,3.4,2.989329805996473
6,28,0,1,4,2,3,4,5,1,4,1,3,2,2.142857142857143,1.2666666666666666,1.0,1.8,1.7999999999999998,2.6,3.0,1.7999999999999998,1.0,1.8,1.7999999999999998,1.8,2.6,2.6,2.830952380952381
18,0,18,5,1,3,1,2,1,4,1,5,1,4,4.428571428571429,5.0,3.6666666666666665,5.0,4.2,3.4,1.0,3.4,4.2,4.2,4.2,5.0,4.2,4.2,1.9539682539682541
7,29,8,1,4,2,4,4,4,1,5,1,3,1,2.333333333333333,1.1333333333333329,2.185185185185185,1.8,1.7999999999999998,2.6,4.0,1.7999999999999998,1.7999999999999998,1.8,1.0,1.8,2.6,1.8,2.9632716049382717
9,20,11,3,3,3,2,3,2,2,2,3,2,2,2.7142857142857144,2.3333333333333335,2.6296296296296298,3.4,2.6,3.4,2.0,2.6,3.4,2.6,3.4,3.4,3.4,2.6,2.7809964726631393
13,20,14,3,2,3,3,2,2,2,3,3,2,2,3.4761904761904763,2.3333333333333335,3.074074074074074,3.4,3.4,3.4,3.0,3.4,3.4,2.6,2.6,3.4,3.4,2.6,2.9062610229276897
